url,Name,Price,Rating,제조회사,등록년월,AMD CPU종류,소켓 구분,코어 수,스레드 수,메모리 규격,내장그래픽,세대 구분,출시일,제조 공정,,기본 클럭,최대 클럭,L2 캐시,L3 캐시,연산 체계,TDP,PPT,PCIe 버전,최대 PCIe 레인수,최대 메모리 크기,메모리 클럭,메모리 채널,GPU 모델명,GPU 코어 속도,SMT(하이퍼스레딩),AMD Ryzen Master,AMD 3D V캐시,패키지 형태,쿨러,시네벤치R23(싱글),시네벤치R23(멀티),적합성평가인증,안전확인인증,인텔 CPU종류,버스 속도,PBP-MTP,인텔 XTU,인텔 딥러닝부스트,StoreMI,VR Ready 프리미엄,SenseMI,인텔 퀵싱크,AMD Ryzen AI,옵테인,유통회사,AMD PRO
//img.danawa.com/prod_img/500000/934/627/img/19627934_1.jpg?shrink=130:130&_v=20240808141234,AMD 라이젠7-5세대 7800X3D (라파엘),511000원,4.9,AMD(제조사 웹사이트 바로가기),2023년 04월,라이젠7-5세대,AMD(소켓AM5),8코어,16스레드,DDR5,내장그래픽:탑재,5세대(Zen4),2023 2분기,5nm,,4.2GHz,5.0GHz,8MB,96MB,64비트,120W,162W,PCIe5.0,28(24)레인,128GB,5200MHz,2,AMD 라데온 그래픽,"2,200MHz",○,○,○,멀티팩(정품),미포함,1788,18208,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/547/531/img/70531547_1.jpg?shrink=130:130&_v=20241119093012,AMD 라이젠7-6세대 9800X3D (그래니트 릿지),743950원,4.9,AMD(제조사 웹사이트 바로가기),2024년 11월,라이젠7-6세대,AMD(소켓AM5),8코어,16스레드,DDR5,내장그래픽:탑재,6세대(Zen5),2024 4분기,TSMC 4nm,,4.7GHz,5.2GHz,8MB,96MB,64비트,120W,,PCIe5.0,28(24)레인,192GB,5600MHz,2,AMD 라데온 그래픽,"2,200MHz",○,○,○,멀티팩(정품),미포함,2073,23334,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/687/059/img/69059687_1.jpg?shrink=130:130&_v=20241029141510,인텔 코어 울트라7 시리즈2 265K (애로우레이크),539980원,4.8,인텔(제조사 웹사이트 바로가기),2024년 10월,,인텔(소켓1851),P8+E12코어,20스레드,DDR5,내장그래픽:탑재,,2024 4분기,TSMC 3nm,,3.9GHz,5.5GHz,36MB,30MB,64비트,,,"PCIe5.0, 4.0",20+4레인,192GB,6400MHz,2,인텔 그래픽스(Xe LPG),,,,,정품,미포함,2304,36309,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어 울트라7(S2),DMI4.0 8 GT/s,125-250W,○,○,,,,,,,,
//img.danawa.com/prod_img/500000/211/741/img/16741211_1.jpg?shrink=130:130&_v=20231207110443,AMD 라이젠5-4세대 5600 (버미어),125950원,4.8,AMD(제조사 웹사이트 바로가기),2022년 04월,라이젠5-4세대,AMD(소켓AM4),6코어,12스레드,DDR4,내장그래픽:미탑재,4세대(Zen3),2022 2분기,7nm,,3.5GHz,4.4GHz,3MB,32MB,64비트,65W,,PCIe4.0,24(20)레인,,3200MHz,2,,,○,○,,멀티팩(정품),Wraith Stealth 포함,1460,10906,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,○,○,,,,,,
//img.danawa.com/prod_img/500000/499/694/img/21694499_1.jpg?shrink=130:130&_v=20241206135547,AMD 라이젠5-5세대 7500F (라파엘),215000원,4.9,AMD(제조사 웹사이트 바로가기),2023년 07월,라이젠5-5세대,AMD(소켓AM5),6코어,12스레드,DDR5,내장그래픽:미탑재,5세대(Zen4),2023 3분기,5nm,,3.7GHz,5.0GHz,6MB,32MB,64비트,65W,88W,PCIe5.0,28(24)레인,128GB,5200MHz,2,,,○,,,멀티팩(정품),Wraith Stealth 포함,1824,13824,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/111/123/img/74123111_1.jpg?shrink=130:130&_v=20250227134845,인텔 코어 울트라5 시리즈2 225F (애로우레이크),331870원,1.0,인텔(제조사 웹사이트 바로가기),2025년 01월,,인텔(소켓1851),P6+E4코어,10스레드,DDR5,내장그래픽:미탑재,,2025 1분기,TSMC 3nm,,3.3GHz,4.9GHz,22MB,20MB,64비트,,,"PCIe5.0, 4.0",20+4레인,192GB,6400MHz,2,,,,,,정품,인텔 기본쿨러 포함,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어 울트라5(S2),DMI4.0 8 GT/s,65-121W,,○,,,,,,,,
//img.danawa.com/prod_img/500000/634/555/img/76555634_1.jpg?shrink=130:130&_v=20250228163010,인텔 코어i5-14세대 14400F (랩터레이크 리프레시),184010원,5.0,인텔(제조사 웹사이트 바로가기),2025년 02월,,인텔(소켓1700),P6+E4코어,12+4스레드,"DDR5, DDR4",내장그래픽:미탑재,,2024 1분기,10nm(인텔7),,2.5GHz,4.7GHz,9.5MB,20MB,64비트,,,"PCIe5.0, 4.0",16+4레인,192GB,"4800, 3200MHz",2,,,○,,,밸류팩(정품),인텔 기본쿨러 포함,1790,17804,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어i5-14세대,DMI4.0 8 GT/s,65-148W,,○,,,,,,,,
//img.danawa.com/prod_img/500000/675/927/img/14927675_1.jpg?shrink=130:130&_v=20231207110458,AMD 라이젠5-4세대 5600G (세잔),156000원,4.8,AMD(제조사 웹사이트 바로가기),2021년 08월,라이젠5-4세대,AMD(소켓AM4),6코어,12스레드,DDR4,내장그래픽:탑재,4세대(Zen3),2021 3분기,7nm,,3.9GHz,4.4GHz,3MB,16MB,64비트,65W,,PCIe3.0,,,3200MHz,2,AMD 라데온 그래픽 7,"1,900MHz",○,○,,멀티팩(정품),Wraith Stealth 포함,1446,10489,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,○,,,,,
//img.danawa.com/prod_img/500000/654/799/img/28799654_1.jpg?shrink=130:130&_v=20240125174554,인텔 코어i5-14세대 14600K (랩터레이크 리프레시),327800원,4.9,인텔(제조사 웹사이트 바로가기),2023년 10월,,인텔(소켓1700),P6+E8코어,12+8스레드,"DDR5, DDR4",내장그래픽:탑재,,2023 4분기,10nm(인텔7),,3.5GHz,5.3GHz,20MB,24MB,64비트,,,"PCIe5.0, 4.0",16+4레인,192GB,"5600, 3200MHz",2,인텔 UHD 770,"1,550MHz",○,,,정품,미포함,2069,25159,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어i5-14세대,DMI4.0 8 GT/s,125-181W,○,○,,,,○,,,,
//img.danawa.com/prod_img/500000/459/059/img/69059459_1.jpg?shrink=130:130&_v=20241206141713,인텔 코어 울트라9 시리즈2 285K (애로우레이크),928120원,5.0,인텔(제조사 웹사이트 바로가기),2024년 10월,,인텔(소켓1851),P8+E16코어,24스레드,DDR5,내장그래픽:탑재,,2024 4분기,TSMC 3nm,,3.7GHz,5.7GHz,40MB,36MB,64비트,,,"PCIe5.0, 4.0",20+4레인,192GB,6400MHz,2,인텔 그래픽스(Xe LPG),,,,,정품,미포함,2320,41558,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,코어 울트라9(S2),DMI4.0 8 GT/s,125-250W,○,○,,,,,,,,
