url,Name,Price,Rating,제조회사,등록년월,제품 분류,디스크 크기,디스크 용량,인터페이스,회전수,버퍼 용량,전송 속도,기록방식,디스크 수,두께,작업부하량,소음(유휴/탐색),2년,,적합성평가인증,안전확인인증,헬륨충전,RV센서,사용보증,5년,데이터 복구 3년,S.M.A.R.T 지원,3년,SED,DSA,저전력,1년,ISE,데이터 복구 2년
//img.danawa.com/prod_img/500000/992/764/img/5764992_1.jpg?shrink=130:130&_v=20220629141336,Seagate BarraCuda 5400/256M,199380원,4.7,Seagate,2017년 11월,HDD (PC용),8.9cm(3.5인치),8TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,190MB/s,SMR(PMR),플래터 4장,26.11mm,55 TB/Y,23/25dB,○,,MSIP-REM-STX-SKR004인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/078/545/img/6545078_1.jpg?shrink=130:130&_v=20220629141246,Seagate BarraCuda 7200/256M,92190원,4.7,Seagate,2018년 10월,HDD (PC용),8.9cm(3.5인치),2TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,220MB/s,SMR(PMR),플래터 1장,20.2mm,55 TB/Y,,○,,MSIP-REM-STX-SKR005인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/460/286/img/42286460_1.jpg?shrink=130:130&_v=20250331161408,Western Digital WD Blue 5640/256M,209900원,4.7,Western Digital WD,2024년 03월,HDD (PC용),8.9cm(3.5인치),8TB,SATA3(6Gb/s),"5,640RPM",메모리 256MB,215MB/s,CMR(PMR),,26.1mm,,24/28dB,○,,R-R-WDT-3VAHA2인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/751/522/img/13522751_1.jpg?shrink=130:130&_v=20250326163812,Western Digital WD Blue 7200/256M,94040원,4.8,Western Digital WD,2021년 03월,HDD (PC용),8.9cm(3.5인치),2TB,SATA3(6Gb/s),"7,200RPM",메모리 256MB,215MB/s,SMR(PMR),,26.1mm,,25/27dB,○,,R-R-WDT-0011인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/527/645/img/36645527_1.jpg?shrink=130:130&_v=20241206140937,Seagate IronWolf Pro 7200/512M,982920원,4.8,Seagate(제조사 웹사이트 바로가기),2024년 02월,HDD (NAS용),8.9cm(3.5인치),24TB,SATA3 (6Gb/s),"7,200RPM",메모리 512MB,285MB/s,CMR(PMR),,26.11mm,550 TB/Y,,,,R-R-STX-STL027인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,250만시간,○,○,,,,,,,,
//img.danawa.com/prod_img/500000/122/486/img/18486122_1.jpg?shrink=130:130&_v=20250331161749,Seagate IronWolf 5400/256M,326640원,4.5,Seagate,2022년 12월,HDD (NAS용),8.9cm(3.5인치),8TB,SATA3 (6Gb/s),"5,400RPM",메모리 256MB,202MB/s,CMR(PMR),플래터 5장,26.11mm,180 TB/Y,25/26dB,,,R-R-STX-SKR007인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,100만시간,,○,○,○,,,,,,
//img.danawa.com/prod_img/500000/990/033/img/20033990_1.jpg?shrink=130:130&_v=20250326163940,Western Digital WD Blue 5400/256M,195990원,5.0,Western Digital WD,2023년 05월,HDD (PC용),8.9cm(3.5인치),6TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,180MB/s,CMR(PMR),,26.1mm,,23/27dB,○,,R-R-WDT-0051인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/481/618/img/19618481_1.jpg?shrink=130:130&_v=20230404103724,Western Digital WD RED Plus 5400/256M,276960원,5.0,Western Digital(제조사 웹사이트 바로가기),2023년 04월,HDD (NAS용),8.9cm(3.5인치),6TB,SATA3 (6Gb/s),"5,400RPM",메모리 256MB,180MB/s,CMR(PMR),,26.1mm,180 TB/Y,23/27dB,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,100만시간,,,,○,,,,,,
//img.danawa.com/prod_img/500000/996/706/img/1706996_1.jpg?shrink=130:130&_v=20250326163404,Western Digital WD Blue 7200/64M,81990원,4.7,Western Digital WD,2012년 06월,HDD (PC용),8.9cm(3.5인치),1TB,SATA3(6Gb/s),"7,200RPM",메모리 64MB,150MB/s,CMR(PMR),,25.4mm,,29/30dB,○,,R-R-WDT-0039인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/137/923/img/43923137_1.jpg?shrink=130:130&_v=20240425160040,Western Digital Ultrastar DC HC580 7200/512M,929000원,5.0,Western Digital(제조사 웹사이트 바로가기),2024년 03월,HDD (기업용),8.9cm(3.5인치),24TB,SATA3 (6Gb/s),"7,200RPM",메모리 512MB,,CMR(PMR),,26.1mm,550 TB/Y,,,,R-R-WDT-US7SAT240인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,250만시간,○,,,,○,,,,,
//img.danawa.com/prod_img/500000/821/253/img/17253821_1.jpg?shrink=130:130&_v=20220615094151,도시바 P300 7200/256M,87990원,4.9,도시바,2022년 06월,HDD (PC용),8.9cm(3.5인치),2TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,210MB/s,SMR(PMR),,26.1mm,55 TB/Y,25dB,○,,R-R-T48-DT02ACA200인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,○,○,,,
//img.danawa.com/prod_img/500000/140/770/img/70770140_1.jpg?shrink=130:130&_v=20241107170912,도시바 X300 Refresh 7200/512M,391990원,5.0,도시바(제조사 웹사이트 바로가기),2024년 11월,HDD (PC용),8.9cm(3.5인치),10TB,SATA3 (6Gb/s),"7,200RPM",메모리 512MB,268MB/s,CMR(PMR),,26.1mm,55 TB/Y,34/35dB,○,,R-R-T48-MG10ADA10TE인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,60만시간,,,,,,○,,,,
//img.danawa.com/prod_img/500000/166/788/img/77788166_1.jpg?shrink=130:130&_v=20250403174528,Seagate BarraCuda 7200/512M,699000원,N/A,Seagate(제조사 웹사이트 바로가기),2025년 03월,HDD (PC용),8.9cm(3.5인치),24TB,SATA3 (6Gb/s),"7,200RPM",메모리 512MB,190MB/s,CMR(PMR),,26.1mm,120 TB/Y,,○,,R-R-STX-STL026인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/779/862/img/5862779_1.jpg?shrink=130:130&_v=20250402171234,Western Digital WD MOBILE Blue 5400/128M/노트북용,120690원,4.7,Western Digital WD,2018년 02월,HDD (노트북용),6.4cm(2.5인치),2TB,SATA3 (6Gb/s),"5,400RPM",메모리 128MB,149MB/s,SMR(PMR),,7mm,,23/24dB,○,,MSIP-REM-WDT-0066인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/331/842/img/14842331_1.jpg?shrink=130:130&_v=20250331214548,Western Digital Ultrastar DC HC310 박스 패키지 7200/256M HUS726T4TALA6L4,1544000원,N/A,Western Digital,2019년 04월,HDD (기업용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,233MB/s,CMR(PMR),플래터 4장,26.1mm,,29/36dB,,,MSIP-REM-WDT-US7SAN6T0인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,200만시간,,,○,○,,○,,,,
//img.danawa.com/prod_img/500000/383/721/img/9721383_1.jpg?shrink=130:130&_v=20200528093624,Seagate BarraCuda 5400/256M/해외구매,176530원,4.7,Seagate,2019년 10월,HDD (PC용),8.9cm(3.5인치),8TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,190MB/s,SMR(PMR),플래터 4장,26.11mm,55 TB/Y,23/25dB,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/145/739/img/18739145_1.jpg?shrink=130:130&_v=20230112112606,Seagate IronWolf Pro 7200/256M/해외구매,849000원,N/A,Seagate,2022년 10월,HDD (NAS용),8.9cm(3.5인치),20TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,285MB/s,CMR(PMR),,26.11mm,300 TB/Y,28/32dB,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,120만시간,,,,,,,,,,
//img.danawa.com/prod_img/500000/762/226/img/13226762_1.jpg?shrink=130:130&_v=20250320181606,Seagate Exos X16 7200/256M/해외구매,300810원,4.7,Seagate(제조사 웹사이트 바로가기),2021년 01월,HDD (기업용),8.9cm(3.5인치),16TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,261MB/s,CMR(PMR),,26.1mm,550 TB/Y,,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,,250만시간,,,,,,,,,,
//img.danawa.com/prod_img/500000/260/371/img/67371260_1.jpg?shrink=130:130&_v=20240919142811,Seagate BarraCuda Pro 7200/256M/해외구매,276300원,4.1,Seagate,2024년 09월,HDD (PC용),8.9cm(3.5인치),14TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,250MB/s,CMR(PMR),플래터 8장,26.11mm,300 TB/Y,,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,,,,,,,,,○,,,
//img.danawa.com/prod_img/500000/833/006/img/72006833_1.jpg?shrink=130:130&_v=20241127142413,Western Digital WD RED Pro 7200/512M,1250000원,N/A,Western Digital WD,2024년 11월,HDD (NAS용),8.9cm(3.5인치),24TB,SATA3 (6Gb/s),"7,200RPM",메모리 512MB,287MB/s,CMR(PMR),,26.1mm,550 TB/Y,20/32dB,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,250만시간,○,,○,,,,,,,
//img.danawa.com/prod_img/500000/882/505/img/16505882_1.jpg?shrink=130:130&_v=20250402171959,Seagate IronWolf 7200/256M,739000원,4.9,Seagate,2022년 03월,HDD (NAS용),8.9cm(3.5인치),18TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,240MB/s,CMR(PMR),,26.11mm,180 TB/Y,28/30dB,,,R-R-STX-STL014인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,100만시간,,○,○,○,,,,,,
//img.danawa.com/prod_img/500000/405/068/img/12068405_1.jpg?shrink=130:130&_v=20250225175528,Western Digital Ultrastar DC HC550 7200/512M,639000원,4.7,Western Digital(제조사 웹사이트 바로가기),2020년 08월,HDD (기업용),8.9cm(3.5인치),18TB,SATA3 (6Gb/s),"7,200RPM",메모리 512MB,269MB/s,CMR(PMR),플래터 8장,26.1mm,550 TB/Y,,,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,250만시간,○,,○,,,○,,,,
