url,Name,Price,Rating,제조회사,등록년월,사용 장치,제품 분류,메모리 규격,메모리 용량,동작클럭(대역폭),램타이밍,동작전압,램개수,온다이ECC,,히트싱크,높이,적합성평가인증,안전확인인증,두께,LED 라이트,XMP3.0,EXPO,방열판 색상,LED색상,AURA SYNC,MYSTIC LIGHT,RGB FUSION,CORSAIR iCUE,POLYCHROME,XPG RGB,온도센서,클럭드라이버,XMP,RGB SYNC,ECC,REG,유통회사,RAZER CHROMA,TT RGB PLUS,T-FORCE BLITZ,G.SKILL Lighting
//img.danawa.com/prod_img/500000/839/535/img/17535839_1.jpg?shrink=130:130&_v=20220726132209,TeamGroup DDR5-5600 CL46 Elite 서린,120390원,4.8,TeamGroup(제조사 웹사이트 바로가기),2022년 07월,데스크탑용,DDR5,DIMM(UDIMM),16GB,5600MHz (PC5-44800),CL46-46-46-90,1.10V,1개,○,,미포함,32mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/091/787/img/11787091_1.jpg?shrink=130:130&_v=20241022144728,ESSENCORE KLEVV DDR4-3200 CL22 파인인포,78000원,4.8,ESSENCORE(제조사 웹사이트 바로가기),2020년 07월,데스크탑용,DDR4,DIMM(UDIMM),16GB,3200MHz (PC4-25600),CL22-22-22-51,1.20V,1개,,,미포함,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/199/790/img/11790199_1.jpg?shrink=130:130&_v=20250418095009,삼성전자 DDR4-3200,98400원,4.7,삼성전자(제조사 웹사이트 바로가기),2020년 07월,데스크탑용,DDR4,DIMM(UDIMM),16GB,3200MHz (PC4-25600),,,1개,,,미포함,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/774/965/img/18965774_1.jpg?shrink=130:130&_v=20240911124521,ESSENCORE KLEVV DDR5-5600 CL46 파인인포,125270원,4.7,ESSENCORE(제조사 웹사이트 바로가기),2023년 02월,데스크탑용,DDR5,DIMM(UDIMM),16GB,5600MHz (PC5-44800),CL46-46-46-90,1.10V,1개,○,,미포함,31.25mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,3.18mm,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/092/471/img/72471092_1.jpg?shrink=130:130&_v=20241206111238,CORSAIR DDR5-6000 CL30 VENGEANCE RGB DP WHITE 패키지,178990원,N/A,CORSAIR(제조사 웹사이트 바로가기),2024년 12월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6000MHz (PC5-48000),CL30-36-36-76,1.40V,2개,,,방열판,56mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,8mm,○,○,○,화이트,RGB,○,○,○,○,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/935/805/img/35805935_1.jpg?shrink=130:130&_v=20240214094800,마이크론 Crucial DDR4-3200 CL22 대원씨티에스,39490원,5.0,마이크론(제조사 웹사이트 바로가기),2020년 01월,데스크탑용,DDR4,DIMM(UDIMM),16GB,3200MHz (PC4-25600),CL22,1.20V,1개,,,미포함,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/770/102/img/39102770_1.jpg?shrink=130:130&_v=20240306155439,마이크론 Crucial DDR5-6000 CL36 PRO Overclocking 패키지 대원씨티에스,133290원,N/A,마이크론(제조사 웹사이트 바로가기),2024년 03월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6000MHz (PC5-48000),CL36-38-38-80,1.35V,2개,○,,방열판,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,○,○,블랙,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/780/911/img/18911780_1.jpg?shrink=130:130&_v=20230202143725,삼성전자 DDR5-5600,140420원,4.8,삼성전자(제조사 웹사이트 바로가기),2023년 02월,데스크탑용,DDR5,DIMM(UDIMM),16GB,5600MHz (PC5-44800),,,1개,,,미포함,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/077/076/img/32076077_1.jpg?shrink=130:130&_v=20250402153436,ESSENCORE KLEVV DDR5-6000 CL30 CRAS V RGB WHITE 패키지 서린,365000원,4.8,ESSENCORE(제조사 웹사이트 바로가기),2024년 01월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6000MHz (PC5-48000),CL30-36-36-76,1.35V,2개,○,,방열판,44mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,8mm,○,○,○,화이트,RGB,○,○,○,,○,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/122/566/img/19566122_1.jpg?shrink=130:130&_v=20241206135200,TeamGroup T-CREATE DDR5-5600 CL46 CLASSIC 패키지 서린,290000원,4.9,TeamGroup(제조사 웹사이트 바로가기),2023년 03월,데스크탑용,DDR5,DIMM(UDIMM),32GB,5600MHz (PC5-44800),CL46-46-46-90,1.10V,2개,○,,방열판,32mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,7mm,,,,블랙,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/470/894/img/27894470_1.jpg?shrink=130:130&_v=20230830155137,ESSENCORE KLEVV DDR5-6000 CL30 BOLT V 패키지 서린,158000원,4.8,ESSENCORE(제조사 웹사이트 바로가기),2023년 08월,데스크탑용,DDR5,DIMM(UDIMM),32GB,6000MHz (PC5-48000),CL30-36-36-76,1.35V,2개,○,,방열판,34mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,8mm,,○,○,블랙,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/523/883/img/18883523_1.jpg?shrink=130:130&_v=20230417160117,SK하이닉스 DDR5-5600,181630원,4.6,SK하이닉스(제조사 웹사이트 바로가기),2023년 01월,데스크탑용,DDR5,DIMM(UDIMM),16GB,5600MHz (PC5-44800),,1.10V,1개,,,미포함,,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/912/002/img/30002912_1.jpg?shrink=130:130&_v=20231116130319,ESSENCORE KLEVV DDR5-6400 CL32 CRAS V RGB 패키지 서린,369000원,1.0,ESSENCORE(제조사 웹사이트 바로가기),2023년 11월,데스크탑용,DDR5,DIMM(UDIMM),64GB,6400MHz (PC5-51200),CL32-38-38-78,1.35V,2개,○,,방열판,44mm,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,8mm,○,○,,블랙,RGB,○,○,○,,○,,,,,,,,,,,,
