url,Name,Price,Rating,제조회사,등록년월,제품분류,폼팩터,인터페이스,프로토콜,용량,메모리 타입,낸드 구조,RAM 탑재,RAM 타입,컨트롤러,순차읽기,순차쓰기,읽기IOPS,쓰기IOPS,TRIM,GC,SLC캐싱,S.M.A.R.T,DEVSLP,,AES 암호화,전용 S/W,MTBF,TBW,게임기 호환,5년,제한보증,NVMe 방열판,가로,세로,두께,무게,적합성평가인증,안전확인인증,ECC,HMB,마이그레이션,관리기능,3년,데이터 복구 3년,유통회사,RGB/LED,NVMe 방열판 타입,상세분류,크기 변환,M.2 (2230),M.2 (2242),M.2 (2260),M.2 (2280),용도 구분,보관(장착) 개수,공정,블랙,제품재질,2.5형(6.4cm),데이터 복구 1년,RGB컨트롤,인터페이스 변환,전원공급,3.5형(8.9cm),충격보호,옐로우,그린,블루,퍼플,화이트,그레이,보조전원,지원 두께,Mini SATA(mSATA),잠금장치,컨버터 연결지원,방수,실버,7년,UASP 지원,1년,M.2 (22110),기타,PLP,1.8형(4.6cm),2년,레드,10년,맥북 업그레이드용,오렌지
//img.danawa.com/prod_img/500000/984/000/img/17000984_1.jpg?shrink=130:130&_v=20250116102807,SK하이닉스 Platinum P41 M.2 NVMe,255000원,4.9,SK하이닉스(제조사 웹사이트 바로가기),2022년 05월,내장형SSD,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,2TB,TLC(토글),3D낸드,DRAM 탑재,DDR4 2GB,SK하이닉스 Aries,"7,000MB/s","6,500MB/s","1,400K","1,300K",○,○,○,○,○,,○,○,150만시간,"1,200TB",PS5 호환,○,○,방열판 미포함,80mm,22mm,2.38mm,7g,R-R-HNX-PB801M280S인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/154/849/img/58849154_1.jpg?shrink=130:130&_v=20250106082403,ESSENCORE KLEVV CRAS C910 M.2 NVMe,153300원,4.6,ESSENCORE(제조사 웹사이트 바로가기),2024년 07월,내장형SSD,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,1TB,TLC(기타),3D낸드,,,InnoGrit IG5220,"5,000MB/s","4,800MB/s",620K,615K,○,,○,○,,,○,○,,700TB,,○,○,방열판 포함,80mm,22mm,3.4mm,10g,상세설명 / 판매 사이트 문의인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/722/297/img/18297722_1.jpg?shrink=130:130&_v=20240104172846,삼성전자 990 PRO M.2 NVMe,500040원,4.8,삼성전자(제조사 웹사이트 바로가기),2022년 11월,내장형SSD,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 2.0,2TB,TLC(토글),3D낸드,DRAM 탑재,DDR4 2GB,삼성 Pascal,"7,450MB/s","6,900MB/s","1,400K","1,550K",○,○,○,○,○,,○,○,150만시간,"1,200TB",PS5 호환,○,○,방열판 미포함,80mm,22mm,2.3mm,9g,R-R-SEC-MZ-V9P2T0인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/451/788/img/17788451_1.jpg?shrink=130:130&_v=20240403154623,Western Digital WD BLACK SN850X M.2 NVMe,1006620원,4.9,Western Digital(제조사 웹사이트 바로가기),2022년 09월,내장형SSD,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,2TB,TLC(기타),3D낸드,DRAM 탑재,DDR4 2GB,WD,"7,300MB/s","6,600MB/s","1,200K","1,100K",○,,○,○,,,,○,,"1,200TB",PS5 호환,○,○,방열판 미포함,80mm,22mm,2.38mm,7.5g,R-R-WDT-MLBSM0인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/338/161/img/13161338_1.jpg?shrink=130:130&_v=20231129150723,SK하이닉스 Gold P31 M.2 NVMe,225000원,4.8,SK하이닉스(제조사 웹사이트 바로가기),2021년 01월,내장형SSD,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,1TB,TLC(토글),3D낸드,DRAM 탑재,DDR4 1GB,SK하이닉스 Cepheus,"3,500MB/s","3,200MB/s",570K,600K,○,,○,○,,,○,○,150만시간,750TB,,○,○,방열판 미포함,80mm,22mm,2.3mm,7g,R-R-HNX-PB711M280S인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/300/656/img/69656300_1.jpg?shrink=130:130&_v=20241023093417,솔리다임 P44 Pro M.2 NVMe 벌크,197000원,4.9,솔리다임(제조사 웹사이트 바로가기),2024년 10월,내장형SSD,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,2TB,TLC(토글),3D낸드,DRAM 탑재,DDR4 2GB,SK하이닉스 Aries,"7,000MB/s","6,500MB/s","1,400K","1,300K",○,,○,○,,,○,,160만시간,"1,200TB",PS5 호환,,○,방열판 미포함,80mm,22mm,2.38mm,7g,R-R-sDM-M280PCI1인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/111/666/img/29666111_1.jpg?shrink=130:130&_v=20241206140223,마이크론 Crucial T500 M.2 NVMe 대원씨티에스,459900원,4.8,마이크론(제조사 웹사이트 바로가기),2023년 11월,내장형SSD,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,1TB,TLC(기타),3D낸드,DRAM 탑재,DDR4 1GB,파이슨,"7,300MB/s","6,800MB/s","1,150K","1,440K",○,,○,○,,,,○,150만시간,600TB,PS5 호환,○,○,방열판 미포함,80mm,22mm,2.3mm,10g,R-R-MU2-CTXXXT500SSD8G인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/543/869/img/69869543_1.jpg?shrink=130:130&_v=20241025142458,삼성전자 990 EVO Plus M.2 NVMe,472660원,4.7,삼성전자(제조사 웹사이트 바로가기),2024년 10월,내장형SSD,M.2 (2280),"PCIe4.0x4(64GT/s), PCIe5.0x2",NVMe 2.0,1TB,TLC(토글),3D낸드,,,삼성 Piccolo,"7,150MB/s","6,300MB/s",850K,"1,350K",○,○,○,○,○,,○,,150만시간,600TB,PS5 호환,○,○,방열판 미포함,80.15mm,22.15mm,2.38mm,9g,R-R-SEC-MZ-V9S4T0인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/133/823/img/72823133_1.jpg?shrink=130:130&_v=20250110132344,SK하이닉스 Platinum P51 M.2 NVMe,488000원,4.8,SK하이닉스(제조사 웹사이트 바로가기),2024년 12월,내장형SSD,M.2 (2280),PCIe5.0x4 (128GT/s),NVMe 2.0,2TB,TLC(토글),3D낸드,DRAM 탑재,DDR4 2GB,SK하이닉스 Alistar,"14,700MB/s","13,400MB/s","2,300K","2,400K",○,○,○,○,○,,○,○,200만시간,"1,200TB",,○,○,방열판 미포함,80mm,22mm,2.38mm,7g,R-R-HNX-PB01M280S인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/693/562/img/13562693_1.jpg?shrink=130:130&_v=20210422125316,삼성전자 980 M.2 NVMe,117380원,4.8,삼성전자(제조사 웹사이트 바로가기),2021년 03월,내장형SSD,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.4,500GB,TLC(토글),3D낸드,,,삼성 Pablo,"3,100MB/s","2,600MB/s",400K,470K,○,○,○,○,○,,○,○,150만시간,300TB,,○,○,방열판 미포함,80.15mm,22.15mm,2.38mm,8g,R-R-SEC-MZ-V8V1T0인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
