review_idx,user_idx,product_idx,review_rating
1,3175,1548,4
2,3508,704,3
3,861,853,1
4,1295,306,1
5,1131,3579,2
6,1096,1934,4
7,3773,1788,5
8,3093,3788,4
9,1639,874,4
10,2170,1582,2
11,467,3958,4
12,1239,3333,1
13,331,1686,5
14,1483,1606,1
15,2136,896,4
16,3445,3264,3
17,3172,3425,5
18,2920,3854,5
19,3736,2347,2
20,131,3532,2
21,1686,2475,5
22,3381,1862,5
23,770,2764,1
24,2392,31,4
25,1516,4008,5
26,3486,3456,3
27,2854,243,4
28,2434,1499,5
29,1216,3423,2
30,956,4004,2
31,2325,1660,2
32,1185,3229,3
33,460,599,1
34,3386,2196,4
35,22,70,1
36,2301,1394,1
37,748,3660,1
38,2905,1650,2
39,3633,2282,4
40,475,3683,2
41,1083,2684,1
42,2559,1311,5
43,3754,4104,3
44,2048,2076,3
45,3548,783,1
46,2748,3807,2
47,976,1334,4
48,1807,3718,2
49,190,1058,4
50,3006,2055,5
51,2735,3402,4
52,3006,2110,4
53,563,3158,5
54,1900,3797,3
55,3639,3649,4
56,1268,1321,5
57,2880,3700,4
58,1529,733,2
59,3203,3634,5
60,3557,3550,1
61,3891,3663,4
62,647,605,4
63,2069,1723,2
64,2889,2405,2
65,2215,3483,1
66,1298,2813,5
67,2436,1582,1
68,601,2279,1
69,2364,2351,3
70,2062,3624,1
71,242,715,4
72,2042,925,1
73,2825,3163,2
74,3418,4154,2
75,2613,4079,4
76,2946,2570,3
77,1364,2816,1
78,2140,889,5
79,1391,3479,2
80,3004,3590,4
81,1479,1724,5
82,3500,1259,1
83,2557,411,1
84,776,2231,1
85,35,3195,5
86,2254,2206,1
87,3153,2061,3
88,1956,3899,5
89,1586,2614,2
90,3944,1813,3
91,3460,1803,4
92,3074,3907,1
93,1022,678,4
94,3462,2911,2
95,2614,2252,4
96,1130,3005,2
97,3844,795,4
98,3894,729,2
99,1501,1694,5
100,703,191,5
101,2450,1997,4
102,2778,2108,3
103,1580,3867,3
104,162,1490,5
105,202,2110,1
106,1982,638,1
107,996,4046,3
108,2318,4159,4
109,3935,2820,3
110,816,4112,5
111,3343,842,4
112,456,3952,5
113,3534,4059,3
114,3799,3248,3
115,1276,1217,5
116,1017,899,4
117,3774,2223,4
118,2344,1258,2
119,3797,1515,5
120,2768,417,3
121,3821,2884,5
122,338,3827,5
123,879,675,1
124,1077,103,2
125,792,2358,4
126,3994,3994,1
127,2265,4028,2
128,764,3709,1
129,2236,1496,2
130,380,3393,2
131,493,3507,5
132,3113,2786,2
133,1181,2235,3
134,2063,3660,3
135,3885,3733,3
136,65,3526,3
137,3929,3518,1
138,3911,2530,4
139,2569,1914,4
140,1368,2458,2
141,1153,1151,4
142,2028,3859,1
143,2696,4138,3
144,1496,4137,3
145,3135,1511,3
146,1163,3971,4
147,1523,3916,4
148,2641,3253,5
149,392,3750,5
150,1699,744,4
151,419,2766,3
152,2337,3939,4
153,379,2512,1
154,1797,1074,5
155,3562,3218,3
156,2279,2193,5
157,3066,16,2
158,2089,3554,2
159,3100,107,2
160,2183,2969,4
161,201,3046,5
162,1864,2858,1
163,780,1429,5
164,2978,2009,3
165,3105,3102,4
166,3120,3637,5
167,503,3472,4
168,2455,3032,4
169,3646,2922,1
170,1752,879,3
171,805,2513,1
172,2147,311,1
173,2732,1115,4
174,1896,1322,4
175,2774,3397,1
176,1571,967,2
177,961,3190,2
178,3811,695,1
179,2661,2615,4
180,1486,271,4
181,2691,1412,3
182,3841,3028,4
183,1029,3125,5
184,3290,1754,5
185,503,1822,4
186,2815,3286,1
187,398,361,5
188,871,3436,4
189,2843,734,4
190,393,852,5
191,207,860,4
192,1039,1351,1
193,1882,4085,2
194,3626,2884,5
195,2940,3548,5
196,1485,327,4
197,3763,2121,1
198,3647,994,5
199,864,1767,4
200,2791,1181,4
201,3313,1965,4
202,564,2782,3
203,1021,2906,3
204,96,99,1
205,1924,2780,2
206,1758,244,3
207,2533,4038,1
208,3479,1501,4
209,2279,2710,4
210,2797,3054,2
211,1679,3227,5
212,3243,1048,3
213,541,1316,3
214,1060,1387,4
215,2573,3921,1
216,1184,1738,2
217,3911,422,2
218,1723,3802,5
219,3315,1412,5
220,3158,3250,1
221,1820,2453,1
222,2626,2084,2
223,2730,3679,4
224,2605,1351,1
225,1598,2368,1
226,3061,3341,5
227,2694,2573,5
228,796,4121,5
229,1052,3845,4
230,1644,640,2
231,3628,1575,4
232,1364,3229,5
233,3870,186,3
234,1982,1319,3
235,1355,528,2
236,1664,3260,5
237,1530,3484,5
238,2039,3020,4
239,3420,2234,2
240,1497,1568,4
241,3303,575,5
242,2238,2035,1
243,3297,1325,3
244,1409,1213,5
245,1401,1435,1
246,1307,538,3
247,2681,1575,1
248,2676,193,2
249,973,1187,1
250,1769,4149,1
251,1283,475,2
252,3431,1814,1
253,710,2438,3
254,1480,3380,1
255,1435,1355,1
256,649,3401,2
257,318,3755,3
258,3749,3530,2
259,3297,159,1
260,3891,1838,2
261,1258,1026,2
262,684,659,1
263,664,678,1
264,1999,4047,5
265,3899,3822,1
266,3446,2376,1
267,3744,276,5
268,1632,1589,3
269,1496,246,5
270,3305,889,2
271,3764,2212,5
272,1137,4026,5
273,1854,1,3
274,1521,2911,4
275,2490,2185,3
276,564,3252,5
277,1292,3052,2
278,3582,1511,2
279,3879,3772,4
280,3458,1129,1
281,3459,698,5
282,3185,1089,1
283,1637,2420,2
284,3697,2629,1
285,3000,3790,3
286,3153,686,3
287,699,2757,4
288,2161,1843,1
289,2,1733,4
290,642,1973,3
291,2268,711,3
292,1590,325,4
293,855,2968,3
294,1760,3800,1
295,3297,2595,5
296,2433,1093,5
297,3475,2956,3
298,1662,212,5
299,1154,1582,5
300,1077,3832,5
301,1708,1444,3
302,2778,4144,5
303,1696,579,4
304,1734,2998,4
305,1440,1755,5
306,2295,2980,2
307,836,3606,2
308,3511,422,4
309,203,611,4
310,3256,446,5
311,123,961,3
312,401,131,4
313,767,2648,5
314,294,4080,4
315,2328,2435,4
316,3909,3730,5
317,2932,1025,5
318,3682,1653,1
319,198,538,3
320,3030,3084,1
321,1931,508,1
322,3583,3925,1
